"LSOA21CD","Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)","Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)","Income Rank (where 1 is most deprived)","Income Decile (where 1 is most deprived 10% of LSOAs)","Employment Rank (where 1 is most deprived)","Employment Decile (where 1 is most deprived 10% of LSOAs)","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)","Health Deprivation and Disability Rank (where 1 is most deprived)","Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs)","Crime Rank (where 1 is most deprived)","Crime Decile (where 1 is most deprived 10% of LSOAs)","Barriers to Housing and Services Rank (where 1 is most deprived)","Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs)","Living Environment Rank (where 1 is most deprived)","Living Environment Decile (where 1 is most deprived 10% of LSOAs)","Output_Area_to_Lower_layer_Supe.MSOA21CD","Total annual income.Total annual income (£)","LAD24CD","202425_local_authority_district.attainment8_average"
"E01000001","26525","8","33730","10","33708","10","33755","10","33108","10","33698","10","29220","9","244","1","E02000001","91506","E09000001","55.7"
"E01000002","31203","10","33669","10","33734","10","33672","10","32574","10","33712","10","32640","10","3702","2","E02000001","91506","E09000001","55.7"
"E01000003","25913","8","25167","8","26985","8","30273","9","20719","7","27325","9","30400","10","4540","2","E02000001","91506","E09000001","55.7"
"E01000005","14807","5","14836","5","17911","6","15886","5","10458","4","25630","8","11294","4","5403","2","E02000001","91506","E09000001","55.7"
"E01000006","10917","4","7519","3","15286","5","11134","4","21901","7","17875","6","2745","1","9479","3","E02000017","66282","E09000002","48.4"
"E01000007","5377","2","2857","1","7782","3","16935","6","10126","3","2920","1","2773","1","13172","4","E02000016","66766","E09000002","48.4"
"E01000008","4400","2","2309","1","7305","3","10358","4","11264","4","8985","3","282","1","12457","4","E02000016","66766","E09000002","48.4"
"E01000009","4812","2","5235","2","8664","3","6360","2","12333","4","2987","1","2595","1","3118","1","E02000017","66282","E09000002","48.4"
"E01000011","5535","2","4637","2","11485","4","4549","2","13862","5","13346","4","4016","2","1226","1","E02000017","66282","E09000002","48.4"
"E01000012","5278","2","2650","1","8281","3","9978","3","18725","6","11133","4","453","1","10579","4","E02000016","66766","E09000002","48.4"
