Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
945000,AL1 1JP,S,E01023682,116,21704,27804,19639,67807,56.8,10 ORCHARD CLOSE
294000,AL1 1TW,F,E01023682,48,21704,27804,19639,67807,56.8,41 ABBOTS PARK
425000,AL1 5PT,T,E01023682,88,21704,27804,19639,67807,56.8,55 CELL BARNES LANE
900000,AL1 1PF,T,E01023726,105,32818,33148,22238,73561,56.8,3 PAXTON ROAD
405000,AL1 1RN,T,E01023726,42,32818,33148,22238,73561,56.8,57 SOPWELL LANE
517500,AL1 3AU,T,E01023726,80,32818,33148,22238,73561,56.8,33 ALEXANDRA ROAD
517500,AL1 3AU,T,E01023726,80,32818,33148,22238,73561,56.8,13 ALEXANDRA ROAD
515000,AL1 3BB,T,E01023726,61,32818,33148,22238,73561,56.8,50 INKERMAN ROAD
865000,AL1 2ET,S,E01023741,86,32743,33110,24785,66948,56.8,69 COTTONMILL LANE
1200000,AL1 2QG,D,E01023744,196,32527,32805,25668,85460,56.8,90 WATLING STREET
240000,B33 0NE,S,E01009302,81,10787,3948,11259,39647,45.3,18 CROSSKEY CLOSE
195000,B37 5ET,T,E01009302,87,10787,3948,11259,39647,45.3,2 BOSWORTH DRIVE
237500,B19 1JJ,T,E01009062,114,2278,6600,3636,35463,45.3,112 LEONARD ROAD
182000,B31 2UG,T,E01009162,77,7061,9139,6360,51267,45.3,4 THE WALMERS WALK
150000,B31 5HL,S,E01009162,70,7061,9139,6360,51267,45.3,195 FARREN ROAD
195000,B31 2UR,T,E01009162,79,7061,9139,6360,51267,45.3,7 COLMERS WALK
237500,B31 2SY,S,E01009162,67,7061,9139,6360,51267,45.3,48 BROUGHTON CRESCENT
480000,B29 6ET,T,E01009290,145,33595,8672,20463,55900,45.3,181 HUBERT ROAD
300000,B29 6DA,T,E01009290,95,33595,8672,20463,55900,45.3,279 TIVERTON ROAD
280000,B75 5PA,S,E01009416,95,27356,29179,29842,76086,45.3,51 SLADE ROAD
360000,B29 6BU,T,E01009290,80,33595,8672,20463,55900,45.3,246 TIVERTON ROAD
120000,B78 2EP,T,E01031031,94,17168,17483,18956,44560,41.7,34 PICCADILLY
271000,B75 5RU,T,E01009416,66,27356,29179,29842,76086,45.3,7 WEEFORD DELL
131000,B64 6HT,T,E01009955,90,5318,3967,7075,40995,43.6,53 TRINITY STREET
185000,B64 6AS,T,E01009955,84,5318,3967,7075,40995,43.6,18 WOODFIELD AVENUE
99000,B64 6JP,F,E01009955,49,5318,3967,7075,40995,43.6,37 ELBOW STREET
710000,AL1 4AS,T,E01023716,92,32941,33425,30076,92123,56.8,32 SANDRIDGE ROAD
570000,AL1 4JD,T,E01023674,86.76,31562,28795,25692,84771,56.8,168C HATFIELD ROAD
590000,AL1 5EB,T,E01023674,82,31562,28795,25692,84771,56.8,19 ALBION ROAD
592500,AL1 5EF,T,E01023674,82,31562,28795,25692,84771,56.8,13 CAVENDISH ROAD
690000,AL1 5DL,T,E01023665,75,30805,30433,27300,96890,56.8,24 CASTLE ROAD
790000,AL1 5DQ,D,E01023665,138,30805,30433,27300,96890,56.8,77 CASTLE ROAD
575000,AL1 5JQ,S,E01023665,89,30805,30433,27300,96890,56.8,23 SUTTON ROAD
844000,AL1 5DZ,S,E01023676,155,24256,31084,11193,84771,56.8,6 ALBION ROAD
136000,B79 7RU,F,E01029836,50,17016,12305,18162,36436,40.8,30 CYGNET DRIVE
255000,B78 3EY,S,E01029836,63,17016,12305,18162,36436,40.8,5 REGENCY CLOSE
170000,B77 4HA,T,E01029824,92,2872,7415,5208,52450,40.8,10 SORREL
499000,AL1 5PN,T,E01023678,73,24978,27555,25010,74057,56.8,5 LIBERTY WALK
763000,AL4 0GH,D,E01023678,80,24978,27555,25010,74057,56.8,24 CHURCH CROFT
445000,AL1 5RA,S,E01023666,108,20474,19037,19111,84771,56.8,4 CELL BARNES LANE
750000,AL1 5SJ,T,E01023683,116,12812,20314,11009,67807,56.8,28 ST VINCENT DRIVE
280000,B29 4DD,S,E01009504,112,13584,18426,15691,55245,45.3,35 GREEN MEADOW ROAD
424148,B29 5BU,T,E01009504,106,13584,18426,15691,55245,45.3,132 SHENLEY FIELDS ROAD
129300,B29 5JS,T,E01009291,70,5412,5391,7871,47875,45.3,234 ALWOLD ROAD
210000,B29 5TN,T,E01009291,71,5412,5391,7871,47875,45.3,363 ALWOLD ROAD
265000,B26 1PL,S,E01009520,85,14615,14901,20664,53243,45.3,85 ELMCROFT ROAD
247500,B26 2LJ,S,E01009520,73,14615,14901,20664,53243,45.3,16 CHARLBURY CRESCENT
340000,B26 1TT,T,E01009520,96,14615,14901,20664,53243,45.3,26 VERA ROAD
110000,B26 2LB,F,E01009520,48,14615,14901,20664,53243,45.3,26 BILTON GRANGE ROAD
330000,B17 8TN,S,E01009260,84,22626,17185,16273,62859,45.3,14 KENWARD CROFT
595000,B17 8SJ,D,E01009260,158,22626,17185,16273,62859,45.3,19 DUNCOMBE GROVE
165000,B17 8TD,F,E01009260,70,22626,17185,16273,62859,45.3,59 SHEEPMOOR CLOSE
165000,B17 8TD,F,E01009260,70,22626,17185,16273,62859,45.3,45 SHEEPMOOR CLOSE
190000,B31 4JJ,T,E01009213,75,5142,4239,5002,51267,45.3,129 CENTRAL AVENUE
645000,B91 2PG,S,E01010226,125,21077,20881,30192,66347,49.8,5 MARSH LANE
207000,B91 2AD,F,E01010226,70,21077,20881,30192,66347,49.8,18 KERESLEY CLOSE
1700000,B91 1AD,D,E01010195,316,33182,30596,30723,66347,49.8,594 WARWICK ROAD
655000,B91 1AG,S,E01010195,150,33182,30596,30723,66347,49.8,470 WARWICK ROAD
730000,B91 1HZ,S,E01010195,150,33182,30596,30723,66347,49.8,68 BROAD OAKS ROAD
222500,B29 5QT,T,E01009502,71,2090,2733,3655,44861,45.3,107 JERVOISE ROAD
154000,B29 5QN,T,E01009502,69,2090,2733,3655,44861,45.3,186 WEOLEY CASTLE ROAD
186000,B17 8JH,T,E01009138,75,10780,10712,12414,49962,45.3,16 WESTBURY ROAD
345000,B17 8LQ,T,E01009138,123,10780,10712,12414,49962,45.3,36 GEORGE DIXON ROAD
205000,B92 8LF,S,E01010158,77,3877,3871,3811,52653,49.8,59 COLESBOURNE ROAD
250000,B92 8EP,S,E01010158,74,3877,3871,3811,52653,49.8,85 DAYLESFORD ROAD
265000,B92 8LE,T,E01010158,75,3877,3871,3811,52653,49.8,12 COLESBOURNE ROAD
305000,B92 8EN,S,E01010158,85,3877,3871,3811,52653,49.8,17 EVENLODE ROAD
155000,B34 7NN,T,E01009308,84,2031,2213,8349,40903,45.3,31 GILWELL ROAD
198000,B34 7SW,T,E01009308,87,2031,2213,8349,40903,45.3,52 HORNE WAY
231000,B34 7LL,T,E01009308,85,2031,2213,8349,40903,45.3,106 HALL HAYS ROAD
170000,B34 7PZ,T,E01009308,82,2031,2213,8349,40903,45.3,15 LILLINGTON GROVE
230000,B34 7LA,T,E01009308,89,2031,2213,8349,40903,45.3,273 LONGMEADOW CRESCENT
